id;date_time;total_price;delivery_address;note;status
1;2023-01-25T04:02:25;32217;input synthesize Orchestrator;Marks salmon;true
2;2023-01-24T21:08:55;49140;Keys online;virtual HDD;true
3;2023-01-25T15:20:10;87119;Investment synergize;feed Oval Creek;true
4;2023-01-25T12:09:29;14754;Virginia Finland;Jewelery;false
5;2023-01-25T06:24:38;84224;Pound;Oro;false
6;2023-01-25T02:01:32;45175;Bedfordshire;hub transitional;false
7;2023-01-24T17:10:07;7768;Rupee Legacy;programming Cambridgeshire Table;false
8;2023-01-25T00:54:41;95921;wireless Algeria TCP;generate Auto;false
9;2023-01-25T12:07:59;46960;payment;quantifying Internal Wooden;false
10;2023-01-24T15:53:06;28712;Director initiatives Personal;Granite Bacon Tasty;false
