id;product_name;img;price;quantity;import_date;status
1;Steel;Assistant;57374;81236;2023-01-25;false
2;Consultant wireless Computer;reboot magenta THX;6602;88209;2023-01-25;false
3;Centers Metal navigating;partnerships Infrastructure;91058;85179;2023-01-24;false
4;withdrawal green;Bedfordshire Lao neutral;4184;16473;2023-01-25;false
5;Computer CFP orange;Village;95487;35518;2023-01-25;true
6;auxiliary;COM Implementation Awesome;52784;27331;2023-01-25;true
7;Rubber Chips;Keyboard;88935;46377;2023-01-25;false
8;tangible;Cheese Renminbi;33734;99001;2023-01-24;true
9;Underpass project hacking;Arizona mobile;44109;86012;2023-01-25;true
10;Data;sticky Harbors Automotive;41021;62316;2023-01-25;false
